visitid,zoneid,userid,duration,entryTime,exitTime
109,3,164,29,13/04/2017 17:14,13/04/2017 17:43
110,2,467,38,07/04/2017 15:20,07/04/2017 15:58
111,1,70,44,25/05/2017 16:05,25/05/2017 16:49
112,3,914,59,12/03/2017 07:44,12/03/2017 08:43
113,1,307,3,11/05/2017 17:10,11/05/2017 17:13
114,3,225,16,23/06/2017 21:25,23/06/2017 21:41
115,2,112,78,09/02/2017 22:07,09/02/2017 23:25
116,1,170,21,02/05/2017 07:23,02/05/2017 07:44
117,3,112,57,09/08/2017 23:59,10/08/2017 00:56
118,3,578,37,24/01/2017 16:33,24/01/2017 17:10
119,2,716,2,03/06/2017 07:08,03/06/2017 07:10
120,3,815,15,07/05/2017 04:21,07/05/2017 04:36
121,2,29,6,24/02/2017 19:41,24/02/2017 19:47
122,3,952,85,11/02/2017 09:24,11/02/2017 10:49
123,2,28,56,28/03/2017 12:38,28/03/2017 13:34
124,3,331,77,28/04/2017 10:14,28/04/2017 11:31
125,1,574,17,30/04/2017 21:51,30/04/2017 22:08
126,1,503,65,17/05/2017 16:41,17/05/2017 17:46
127,2,8,87,02/05/2017 04:41,02/05/2017 06:08
128,2,621,58,16/07/2017 18:45,16/07/2017 19:43
129,2,110,3,02/04/2017 22:44,02/04/2017 22:47
130,3,708,14,22/05/2017 01:02,22/05/2017 01:16
131,2,87,5,18/07/2017 12:10,18/07/2017 12:15
132,3,304,48,21/05/2017 08:15,21/05/2017 09:03
133,1,784,36,28/03/2017 16:50,28/03/2017 17:26
134,2,808,62,26/06/2017 21:02,26/06/2017 22:04
135,1,695,60,09/06/2017 03:14,09/06/2017 04:14
136,3,679,45,06/04/2017 08:50,06/04/2017 09:35
137,3,572,31,18/07/2017 17:41,18/07/2017 18:12
138,3,225,22,26/04/2017 16:52,26/04/2017 17:14
139,2,244,89,24/03/2017 11:32,24/03/2017 13:01
140,3,167,49,15/05/2017 08:36,15/05/2017 09:25
141,1,830,32,24/02/2017 02:06,24/02/2017 02:38
142,3,986,23,01/01/2017 02:22,01/01/2017 02:45
143,3,566,27,18/02/2017 22:11,18/02/2017 22:38
144,3,729,44,05/01/2017 14:22,05/01/2017 15:06
145,3,366,8,05/01/2017 11:57,05/01/2017 12:05
146,3,125,32,13/03/2017 05:11,13/03/2017 05:43
147,2,35,87,06/03/2017 21:16,06/03/2017 22:43
148,3,383,6,14/01/2017 02:33,14/01/2017 02:39
149,1,71,15,25/03/2017 17:33,25/03/2017 17:48
150,3,671,34,14/03/2017 03:10,14/03/2017 03:44
151,1,286,37,03/02/2017 11:34,03/02/2017 12:11
152,3,265,38,25/01/2017 16:27,25/01/2017 17:05
153,1,187,2,26/01/2017 14:50,26/01/2017 14:52
154,1,637,87,29/07/2017 21:22,29/07/2017 22:49
155,2,523,73,22/06/2017 20:29,22/06/2017 21:42
156,2,550,57,24/02/2017 22:17,24/02/2017 23:14
157,3,954,22,11/01/2017 00:40,11/01/2017 01:02
158,2,178,35,18/04/2017 04:23,18/04/2017 04:58
159,1,145,23,23/05/2017 11:20,23/05/2017 11:43
160,3,729,27,09/05/2017 01:39,09/05/2017 02:06
161,3,881,60,13/04/2017 23:08,14/04/2017 00:08
162,3,64,68,06/07/2017 23:24,07/07/2017 00:32
163,2,809,63,25/01/2017 23:57,26/01/2017 01:00
164,3,258,23,02/02/2017 10:58,02/02/2017 11:21
165,3,323,90,16/04/2017 00:45,16/04/2017 02:15
166,1,370,29,08/06/2017 06:16,08/06/2017 06:45
167,2,451,70,14/07/2017 04:56,14/07/2017 06:06
168,2,587,44,03/08/2017 05:04,03/08/2017 05:48
169,2,136,7,18/03/2017 22:55,18/03/2017 23:02
170,1,591,71,27/07/2017 12:18,27/07/2017 13:29
171,3,765,19,19/02/2017 04:20,19/02/2017 04:39
172,3,563,29,28/07/2017 16:26,28/07/2017 16:55
173,3,289,8,12/05/2017 09:34,12/05/2017 09:42
174,1,530,85,08/07/2017 10:08,08/07/2017 11:33
175,3,354,79,13/04/2017 17:14,13/04/2017 18:33
176,1,24,9,27/08/2017 10:23,27/08/2017 10:32
177,3,895,47,31/08/2017 12:57,31/08/2017 13:44
178,3,836,67,06/07/2017 19:43,06/07/2017 20:50
179,3,6,19,01/04/2017 15:46,01/04/2017 16:05
180,1,688,24,19/08/2017 23:01,19/08/2017 23:25
181,3,406,54,12/01/2017 21:17,12/01/2017 22:11
182,1,529,60,02/08/2017 11:34,02/08/2017 12:34
183,3,604,61,19/06/2017 19:25,19/06/2017 20:26
184,3,859,11,26/03/2017 20:36,26/03/2017 20:47
185,2,102,5,16/06/2017 19:03,16/06/2017 19:08
186,3,761,10,13/07/2017 20:00,13/07/2017 20:10
187,1,989,31,29/05/2017 17:08,29/05/2017 17:39
188,3,321,68,19/01/2017 03:44,19/01/2017 04:52
189,2,435,30,23/01/2017 22:25,23/01/2017 22:55
190,1,906,46,16/02/2017 11:41,16/02/2017 12:27
191,2,524,57,14/01/2017 19:52,14/01/2017 20:49
192,1,926,51,18/05/2017 23:02,18/05/2017 23:53
193,3,622,14,19/07/2017 02:33,19/07/2017 02:47
194,3,137,59,06/06/2017 09:46,06/06/2017 10:45
195,2,827,67,11/03/2017 06:26,11/03/2017 07:33
196,1,428,70,23/01/2017 00:12,23/01/2017 01:22
197,1,817,13,02/09/2017 18:23,02/09/2017 18:36
198,1,177,9,19/02/2017 07:38,19/02/2017 07:47
199,1,74,27,27/07/2017 11:51,27/07/2017 12:18
200,1,511,59,25/07/2017 22:07,25/07/2017 23:06
201,3,44,86,10/07/2017 09:51,10/07/2017 11:17
202,2,236,61,16/05/2017 08:11,16/05/2017 09:12
203,2,251,37,17/07/2017 21:46,17/07/2017 22:23
204,3,613,54,05/04/2017 17:05,05/04/2017 17:59
205,2,814,14,16/07/2017 10:11,16/07/2017 10:25
206,1,370,27,27/07/2017 16:41,27/07/2017 17:08
207,2,454,12,23/01/2017 00:35,23/01/2017 00:47
208,2,971,90,12/03/2017 08:46,12/03/2017 10:16
209,3,868,31,17/05/2017 15:00,17/05/2017 15:31
210,3,586,13,14/08/2017 00:47,14/08/2017 01:00
211,2,506,75,07/01/2017 00:59,07/01/2017 02:14
212,2,759,23,15/05/2017 14:43,15/05/2017 15:06
213,1,149,53,09/05/2017 13:54,09/05/2017 14:47
214,3,664,81,06/07/2017 21:38,06/07/2017 22:59
215,1,574,11,12/02/2017 15:08,12/02/2017 15:19
216,3,722,15,11/06/2017 17:49,11/06/2017 18:04
217,3,489,85,26/04/2017 09:20,26/04/2017 10:45
218,1,410,74,09/06/2017 07:05,09/06/2017 08:19
219,1,475,78,12/01/2017 22:03,12/01/2017 23:21
220,2,834,3,08/04/2017 19:05,08/04/2017 19:08
221,3,518,53,17/05/2017 23:07,18/05/2017 00:00
222,2,416,16,03/03/2017 12:20,03/03/2017 12:36
223,3,558,42,05/03/2017 19:40,05/03/2017 20:22
224,2,157,57,26/02/2017 04:34,26/02/2017 05:31
225,1,493,50,25/01/2017 02:29,25/01/2017 03:19
226,1,340,54,04/06/2017 01:05,04/06/2017 01:59
227,3,947,72,23/01/2017 00:17,23/01/2017 01:29
228,2,107,44,10/06/2017 10:10,10/06/2017 10:54
229,1,399,74,07/05/2017 07:43,07/05/2017 08:57
230,3,530,37,10/02/2017 18:04,10/02/2017 18:41
231,3,253,23,27/02/2017 13:20,27/02/2017 13:43
232,2,712,4,25/02/2017 16:29,25/02/2017 16:33
233,3,512,13,12/02/2017 18:20,12/02/2017 18:33
234,2,595,11,12/03/2017 05:46,12/03/2017 05:57
235,3,203,12,10/02/2017 13:29,10/02/2017 13:41
236,3,615,33,08/02/2017 04:23,08/02/2017 04:56
237,3,948,81,19/07/2017 18:19,19/07/2017 19:40
238,1,82,86,06/01/2017 22:37,07/01/2017 00:03
239,1,97,18,08/02/2017 19:52,08/02/2017 20:10
240,2,200,90,12/06/2017 21:40,12/06/2017 23:10
241,3,113,49,01/07/2017 02:47,01/07/2017 03:36
242,1,691,28,17/04/2017 07:31,17/04/2017 07:59
243,3,53,80,23/01/2017 02:35,23/01/2017 03:55
244,2,675,73,07/06/2017 16:49,07/06/2017 18:02
245,2,596,77,25/03/2017 11:44,25/03/2017 13:01
246,1,780,18,29/06/2017 13:25,29/06/2017 13:43
247,1,730,29,17/05/2017 20:44,17/05/2017 21:13
248,1,426,32,15/05/2017 12:52,15/05/2017 13:24
249,2,276,53,07/01/2017 19:10,07/01/2017 20:03
250,2,996,89,06/02/2017 23:30,07/02/2017 00:59
251,3,346,76,02/03/2017 12:41,02/03/2017 13:57
252,3,365,76,11/04/2017 11:09,11/04/2017 12:25
253,2,457,66,03/01/2017 11:15,03/01/2017 12:21
254,2,94,68,16/04/2017 03:01,16/04/2017 04:09
255,1,675,77,11/07/2017 15:35,11/07/2017 16:52
256,2,46,49,08/05/2017 00:57,08/05/2017 01:46
257,1,393,70,30/08/2017 14:00,30/08/2017 15:10
258,2,115,50,14/06/2017 05:08,14/06/2017 05:58
259,3,183,51,29/05/2017 14:43,29/05/2017 15:34
260,1,966,3,17/06/2017 12:24,17/06/2017 12:27
261,3,61,9,08/05/2017 23:17,08/05/2017 23:26
262,3,919,33,12/08/2017 15:50,12/08/2017 16:23
263,2,71,65,09/08/2017 11:53,09/08/2017 12:58
264,2,832,30,24/03/2017 07:31,24/03/2017 08:01
265,1,33,8,28/03/2017 09:03,28/03/2017 09:11
266,2,991,63,13/06/2017 00:07,13/06/2017 01:10
267,3,807,22,01/03/2017 15:21,01/03/2017 15:43
268,2,115,70,08/06/2017 15:17,08/06/2017 16:27
269,3,879,53,03/01/2017 11:14,03/01/2017 12:07
270,3,703,89,15/01/2017 07:19,15/01/2017 08:48
271,2,507,55,23/07/2017 08:24,23/07/2017 09:19
272,3,743,86,19/08/2017 16:12,19/08/2017 17:38
273,1,225,52,10/01/2017 02:33,10/01/2017 03:25
274,3,585,56,13/04/2017 20:13,13/04/2017 21:09
275,2,818,48,17/04/2017 05:12,17/04/2017 06:00
276,2,325,5,09/04/2017 04:04,09/04/2017 04:09
277,3,884,48,26/08/2017 00:47,26/08/2017 01:35
278,1,392,63,10/03/2017 06:04,10/03/2017 07:07
279,1,815,31,02/02/2017 15:02,02/02/2017 15:33
280,1,983,36,20/02/2017 02:04,20/02/2017 02:40
281,2,909,84,03/02/2017 13:14,03/02/2017 14:38
282,3,137,40,15/04/2017 18:09,15/04/2017 18:49
283,3,510,20,08/06/2017 16:48,08/06/2017 17:08
284,3,619,31,27/05/2017 12:38,27/05/2017 13:09
285,1,700,40,04/05/2017 02:26,04/05/2017 03:06
286,2,433,32,13/08/2017 03:55,13/08/2017 04:27
287,3,905,28,09/01/2017 08:00,09/01/2017 08:28
288,1,722,41,30/04/2017 20:27,30/04/2017 21:08
289,1,330,77,24/06/2017 18:29,24/06/2017 19:46
290,3,59,51,14/04/2017 04:00,14/04/2017 04:51
291,3,452,19,28/03/2017 17:39,28/03/2017 17:58
292,3,451,22,26/02/2017 20:02,26/02/2017 20:24
293,2,803,81,17/05/2017 06:10,17/05/2017 07:31
294,1,475,77,31/07/2017 20:42,31/07/2017 21:59
295,2,963,22,10/04/2017 15:38,10/04/2017 16:00
296,3,181,61,05/02/2017 01:47,05/02/2017 02:48
297,2,390,82,16/03/2017 13:28,16/03/2017 14:50
298,1,623,63,19/01/2017 06:44,19/01/2017 07:47
299,3,671,76,26/07/2017 01:52,26/07/2017 03:08
300,2,80,10,22/01/2017 23:40,22/01/2017 23:50
301,2,603,38,06/01/2017 07:43,06/01/2017 08:21
302,2,62,72,29/08/2017 16:56,29/08/2017 18:08
303,3,331,39,03/05/2017 01:23,03/05/2017 02:02
304,2,264,65,08/03/2017 23:15,09/03/2017 00:20
305,1,244,67,06/01/2017 08:48,06/01/2017 09:55
306,1,316,29,26/04/2017 12:08,26/04/2017 12:37
307,2,188,26,21/03/2017 05:35,21/03/2017 06:01
308,3,918,17,26/05/2017 15:07,26/05/2017 15:24
309,3,767,73,22/01/2017 14:42,22/01/2017 15:55
310,2,262,2,25/02/2017 10:48,25/02/2017 10:50
311,3,776,12,18/07/2017 19:42,18/07/2017 19:54
312,2,113,82,04/08/2017 06:09,04/08/2017 07:31
313,1,221,65,26/04/2017 09:33,26/04/2017 10:38
314,2,241,9,13/02/2017 03:09,13/02/2017 03:18
315,3,652,63,22/06/2017 23:00,23/06/2017 00:03
316,3,405,7,15/04/2017 13:10,15/04/2017 13:17
317,3,908,80,18/08/2017 13:48,18/08/2017 15:08
318,3,956,32,23/06/2017 20:23,23/06/2017 20:55
319,1,963,34,29/08/2017 11:28,29/08/2017 12:02
320,3,73,61,16/02/2017 17:44,16/02/2017 18:45
321,1,600,28,30/08/2017 00:02,30/08/2017 00:30
322,2,83,3,20/05/2017 00:09,20/05/2017 00:12
323,1,142,51,28/06/2017 22:43,28/06/2017 23:34
324,1,151,14,29/08/2017 19:48,29/08/2017 20:02
325,2,868,87,24/05/2017 00:58,24/05/2017 02:25
326,3,700,13,10/08/2017 18:00,10/08/2017 18:13
327,3,56,81,27/08/2017 19:17,27/08/2017 20:38
328,2,937,11,14/08/2017 02:59,14/08/2017 03:10
329,1,752,38,08/03/2017 15:20,08/03/2017 15:58
330,3,55,66,08/04/2017 06:47,08/04/2017 07:53
331,3,861,58,30/07/2017 19:17,30/07/2017 20:15
332,1,821,80,20/01/2017 00:15,20/01/2017 01:35
333,2,115,10,28/05/2017 06:29,28/05/2017 06:39
334,1,967,41,11/04/2017 01:47,11/04/2017 02:28
335,3,230,82,08/03/2017 15:08,08/03/2017 16:30
336,3,37,75,25/02/2017 07:50,25/02/2017 09:05
337,2,489,51,31/01/2017 08:45,31/01/2017 09:36
338,2,945,15,21/05/2017 22:18,21/05/2017 22:33
339,1,819,32,24/05/2017 12:03,24/05/2017 12:35
340,1,581,87,18/06/2017 20:37,18/06/2017 22:04
341,2,649,69,20/08/2017 15:06,20/08/2017 16:15
342,3,590,81,21/04/2017 03:05,21/04/2017 04:26
343,1,6,34,17/07/2017 13:26,17/07/2017 14:00
344,2,960,66,13/04/2017 01:36,13/04/2017 02:42
345,3,777,21,14/01/2017 08:55,14/01/2017 09:16
346,1,851,50,12/01/2017 09:46,12/01/2017 10:36
347,1,901,15,07/03/2017 07:58,07/03/2017 08:13
348,2,735,50,20/06/2017 04:00,20/06/2017 04:50
349,3,975,60,28/04/2017 19:56,28/04/2017 20:56
350,2,544,81,29/03/2017 11:49,29/03/2017 13:10
351,3,133,77,19/01/2017 07:00,19/01/2017 08:17
352,3,307,78,13/04/2017 15:09,13/04/2017 16:27
353,2,570,18,02/06/2017 22:28,02/06/2017 22:46
354,3,375,88,01/09/2017 11:53,01/09/2017 13:21
355,2,312,63,28/08/2017 16:53,28/08/2017 17:56
356,2,814,67,22/04/2017 13:36,22/04/2017 14:43
357,3,864,82,22/05/2017 11:12,22/05/2017 12:34
358,1,501,59,06/02/2017 05:19,06/02/2017 06:18
359,2,337,61,11/03/2017 08:41,11/03/2017 09:42
360,3,381,38,17/04/2017 13:33,17/04/2017 14:11
361,1,448,78,29/07/2017 01:16,29/07/2017 02:34
362,3,146,58,18/06/2017 05:37,18/06/2017 06:35
363,3,8,83,29/07/2017 03:31,29/07/2017 04:54
364,2,994,80,02/03/2017 20:11,02/03/2017 21:31
365,2,483,40,23/04/2017 12:46,23/04/2017 13:26
366,2,600,65,16/06/2017 09:39,16/06/2017 10:44
367,2,921,15,16/01/2017 03:23,16/01/2017 03:38
368,3,579,54,14/07/2017 15:51,14/07/2017 16:45
369,3,69,87,07/03/2017 18:11,07/03/2017 19:38
370,3,679,87,30/04/2017 03:00,30/04/2017 04:27
371,3,177,51,09/07/2017 02:14,09/07/2017 03:05
372,3,355,28,09/07/2017 03:19,09/07/2017 03:47
373,3,882,38,13/06/2017 03:01,13/06/2017 03:39
374,2,747,40,13/05/2017 06:29,13/05/2017 07:09
375,1,748,66,26/02/2017 15:36,26/02/2017 16:42
376,2,896,69,09/01/2017 09:23,09/01/2017 10:32
377,3,251,51,26/02/2017 17:46,26/02/2017 18:37
378,2,340,38,09/04/2017 18:45,09/04/2017 19:23
379,3,119,36,09/04/2017 14:41,09/04/2017 15:17
380,1,827,76,05/06/2017 19:52,05/06/2017 21:08
381,2,26,20,08/02/2017 03:21,08/02/2017 03:41
382,2,819,65,07/03/2017 21:21,07/03/2017 22:26
383,2,334,70,19/05/2017 10:23,19/05/2017 11:33
384,2,537,48,29/06/2017 01:02,29/06/2017 01:50
385,2,252,72,02/07/2017 14:57,02/07/2017 16:09
386,1,372,57,24/07/2017 03:33,24/07/2017 04:30
387,1,70,71,18/08/2017 05:09,18/08/2017 06:20
388,1,623,88,13/01/2017 17:08,13/01/2017 18:36
389,2,801,65,13/04/2017 07:57,13/04/2017 09:02
390,2,896,40,22/01/2017 19:38,22/01/2017 20:18
391,2,241,9,09/07/2017 22:24,09/07/2017 22:33
392,3,416,39,15/06/2017 06:31,15/06/2017 07:10
393,2,323,81,22/01/2017 14:35,22/01/2017 15:56
394,1,670,69,16/08/2017 22:55,17/08/2017 00:04
395,2,919,40,02/07/2017 15:22,02/07/2017 16:02
396,1,973,72,31/08/2017 23:38,01/09/2017 00:50
397,1,353,56,19/03/2017 04:34,19/03/2017 05:30
398,1,437,44,08/06/2017 18:25,08/06/2017 19:09
399,2,397,32,16/08/2017 11:40,16/08/2017 12:12
400,3,209,10,04/04/2017 23:54,05/04/2017 00:04
401,3,85,55,10/08/2017 09:12,10/08/2017 10:07
402,3,799,87,01/06/2017 09:56,01/06/2017 11:23
403,2,461,81,05/03/2017 13:27,05/03/2017 14:48
404,3,995,75,02/08/2017 21:10,02/08/2017 22:25
405,2,203,63,11/08/2017 00:44,11/08/2017 01:47
406,1,609,46,27/07/2017 07:36,27/07/2017 08:22
407,1,884,88,05/08/2017 17:08,05/08/2017 18:36
408,1,749,70,18/03/2017 10:21,18/03/2017 11:31
409,2,205,45,12/02/2017 07:41,12/02/2017 08:26
410,2,712,18,05/04/2017 18:42,05/04/2017 19:00
411,3,6,57,07/08/2017 16:59,07/08/2017 17:56
412,1,449,72,01/06/2017 15:45,01/06/2017 16:57
413,2,257,69,03/06/2017 14:49,03/06/2017 15:58
414,2,604,62,02/01/2017 17:05,02/01/2017 18:07
415,3,363,76,08/04/2017 12:46,08/04/2017 14:02
416,3,973,36,02/07/2017 22:42,02/07/2017 23:18
417,2,999,37,06/03/2017 01:47,06/03/2017 02:24
418,2,417,15,05/01/2017 02:22,05/01/2017 02:37
419,1,412,15,04/05/2017 05:37,04/05/2017 05:52
420,3,925,28,06/05/2017 05:53,06/05/2017 06:21
421,3,977,81,03/07/2017 14:26,03/07/2017 15:47
422,3,825,22,18/04/2017 19:36,18/04/2017 19:58
423,3,848,5,29/04/2017 20:49,29/04/2017 20:54
424,1,802,8,07/07/2017 02:39,07/07/2017 02:47
425,2,355,7,30/07/2017 03:56,30/07/2017 04:03
426,3,317,32,12/04/2017 16:01,12/04/2017 16:33
427,2,649,82,13/06/2017 23:34,14/06/2017 00:56
428,2,85,42,21/05/2017 15:57,21/05/2017 16:39
429,1,738,76,14/01/2017 15:42,14/01/2017 16:58
430,1,536,77,28/02/2017 06:15,28/02/2017 07:32
431,2,383,43,09/04/2017 03:38,09/04/2017 04:21
432,2,493,86,18/04/2017 14:04,18/04/2017 15:30
433,1,909,11,26/01/2017 21:24,26/01/2017 21:35
434,2,123,81,05/08/2017 22:12,05/08/2017 23:33
435,3,563,81,20/02/2017 10:56,20/02/2017 12:17
436,3,353,88,30/05/2017 05:51,30/05/2017 07:19
437,1,524,58,16/07/2017 16:26,16/07/2017 17:24
438,3,988,46,20/05/2017 02:22,20/05/2017 03:08
439,1,426,50,23/05/2017 11:54,23/05/2017 12:44
440,2,395,7,25/05/2017 13:11,25/05/2017 13:18
441,2,416,56,28/06/2017 10:19,28/06/2017 11:15
442,1,695,73,11/08/2017 20:09,11/08/2017 21:22
443,3,187,69,08/04/2017 11:33,08/04/2017 12:42
444,3,354,58,09/05/2017 01:56,09/05/2017 02:54
445,3,828,78,11/06/2017 16:38,11/06/2017 17:56
446,2,603,54,24/07/2017 20:37,24/07/2017 21:31
447,1,448,36,11/02/2017 02:20,11/02/2017 02:56
448,2,563,83,31/01/2017 02:38,31/01/2017 04:01
449,1,919,77,24/02/2017 18:52,24/02/2017 20:09
450,2,806,45,23/07/2017 02:54,23/07/2017 03:39
451,1,811,70,30/03/2017 23:50,31/03/2017 01:00
452,2,144,87,26/06/2017 04:30,26/06/2017 05:57
453,2,108,61,06/07/2017 06:23,06/07/2017 07:24
454,3,600,41,31/07/2017 19:44,31/07/2017 20:25
455,2,423,60,28/07/2017 15:18,28/07/2017 16:18
456,3,312,72,16/07/2017 06:36,16/07/2017 07:48
457,3,747,15,19/04/2017 12:14,19/04/2017 12:29
458,1,558,89,11/07/2017 08:28,11/07/2017 09:57
459,3,780,26,06/05/2017 18:26,06/05/2017 18:52
460,3,990,45,01/07/2017 03:50,01/07/2017 04:35
461,2,898,3,08/05/2017 13:22,08/05/2017 13:25
462,2,26,58,03/08/2017 21:47,03/08/2017 22:45
463,1,172,26,15/04/2017 09:22,15/04/2017 09:48
464,1,318,85,13/08/2017 04:18,13/08/2017 05:43
465,1,22,54,20/06/2017 21:18,20/06/2017 22:12
